1731k  114.243.156.93:8888
1506k  111.199.232.88:18888
1486k  123.113.106.229:4022
1439k  221.219.101.217:4022
1383k  123.113.102.207:4022
1383k  114.246.180.128:4022
1376k  222.131.18.98:8688
1375k  123.113.103.104:4022
1349k  123.113.237.160:8888
1325k  221.221.155.31:8888
1315k  114.243.106.165:8888
1278k  221.217.54.246:8686
1188k  114.252.231.80:8000
1174k  123.113.14.115:8012
1028k  123.113.187.204:8000
1005k  111.196.131.46:20000
1004k  114.243.104.126:8888
1003k  111.196.191.248:5555
893k  111.192.0.32:4022
534k  114.243.107.36:8888
199k  114.252.229.100:8000
151k  123.123.23.230:5400
98k  222.129.33.14:8888
