1308k  123.144.183.101:4000
1156k  123.146.41.10:8002
1103k  27.11.104.31:8009
1103k  123.146.41.10:8001
1061k  27.10.129.243:8005
999k  123.146.213.203:8888
999k  113.206.196.11:8005
953k  113.206.107.197:8088
875k  123.145.66.45:8002
765k  27.8.192.32:4022
654k  27.10.214.195:8002
521k  27.10.215.45:8001
463k  123.145.66.45:8001
461k  27.11.53.165:8005
459k  123.145.66.45:8003
441k  123.145.71.35:55555
436k  27.11.58.63:8005
419k  27.11.104.133:8003
394k  27.10.76.94:8001
371k  27.11.248.83:8005
262k  27.10.76.94:8003
198k  27.10.76.94:8002
183k  27.11.253.29:8005
178k  27.11.249.59:8005
172k  123.145.24.146:8003
167k  123.145.24.146:8002
161k  27.10.214.195:8001
145k  27.10.215.45:8002
138k  27.11.57.219:8009
114k  27.11.49.235:8004
