833k  123.13.247.101:4000
790k  42.237.176.77:4000
787k  42.237.182.37:4000
779k  42.237.176.94:4000
779k  42.237.176.67:4000
779k  42.237.176.191:4000
779k  219.156.49.6:9999
779k  123.13.247.69:4000
779k  123.13.247.109:4000
779k  123.13.246.253:4000
762k  42.237.183.247:4000
761k  123.13.247.70:4000
745k  123.13.247.80:4000
741k  123.13.246.163:4000
720k  42.237.178.194:4000
701k  42.237.176.182:4000
654k  42.237.181.126:4000
636k  123.13.246.177:4000
635k  123.13.246.206:4000
619k  42.237.183.235:4000
607k  42.237.176.178:4000
606k  123.13.247.134:4000
583k  123.13.247.106:4000
543k  42.237.183.200:4000
541k  42.237.176.171:4000
521k  115.60.241.249:2000
186k  42.237.176.252:4000
