972k  171.83.136.5:10000
970k  171.80.229.196:4000
965k  171.80.165.4:8888
963k  171.80.232.132:8888
957k  221.233.88.55:7777
954k  61.136.158.88:18888
948k  58.54.213.146:4000
948k  111.178.101.34:9999
946k  27.24.20.190:9999
944k  171.80.250.48:8888
942k  27.17.111.252:8118
939k  59.175.47.16:4000
936k  119.101.65.2:8888
903k  27.24.224.125:8888
893k  119.100.148.10:8888
891k  58.52.242.3:8888
608k  58.50.155.89:4022
321k  27.19.208.231:4022
299k  111.175.164.168:8888
267k  171.41.194.176:8888
