1000k  114.225.203.172:8888
996k  49.81.242.75:4022
993k  114.238.189.209:8888
992k  180.119.253.225:8600
991k  180.105.197.182:9981
989k  180.110.154.213:10001
984k  49.73.163.14:4022
980k  114.232.146.113:7777
978k  49.79.3.18:8889
978k  222.185.106.8:8888
978k  180.107.236.60:8888
978k  180.102.250.25:8118
977k  49.83.250.201:10001
977k  180.125.205.135:8888
977k  117.85.153.180:8800
977k  114.226.120.51:9004
977k  114.224.174.101:4000
974k  180.109.220.212:8888
973k  58.219.143.69:4001
970k  114.226.231.250:8888
962k  180.109.222.120:8888
956k  117.86.49.165:7777
948k  222.95.92.12:4000
940k  180.103.165.77:8888
933k  49.73.72.198:5555
892k  117.87.147.134:3000
890k  114.232.13.123:8181
889k  117.93.119.55:4022
840k  180.103.165.76:8888
759k  114.221.238.153:8888
752k  180.114.95.16:7382
751k  180.114.95.16:5601
734k  180.114.95.16:4064
731k  180.114.95.16:28017
723k  180.114.95.16:8983
720k  180.120.95.79:4000
715k  180.114.95.16:9229
712k  180.114.95.16:9444
693k  121.229.147.230:8888
