1002k  171.118.136.143:8082
1001k  60.223.90.160:8001
999k  183.185.175.133:8085
998k  171.118.136.143:8083
994k  171.120.123.242:8082
989k  183.185.175.133:8084
981k  118.79.139.103:6000
980k  60.223.72.211:8002
977k  60.223.72.211:8001
970k  60.223.90.206:8001
970k  171.117.3.37:8083
967k  171.119.205.154:6001
967k  118.76.104.14:8888
955k  60.223.90.206:8002
935k  118.79.7.143:6000
907k  221.205.92.72:8082
886k  60.223.186.204:10000
871k  118.79.7.143:6001
769k  61.134.255.131:8084
746k  171.116.226.246:8084
744k  171.116.39.97:8082
735k  171.120.110.84:8083
691k  221.205.92.72:8083
673k  61.240.38.242:8083
654k  60.220.167.43:8083
637k  183.188.23.36:6001
508k  61.240.38.242:8084
506k  171.120.110.84:8082
455k  171.119.205.43:8000
450k  171.116.36.145:8083
384k  118.79.113.90:6001
373k  171.117.143.120:8082
333k  60.220.167.229:8082
326k  60.220.167.229:8083
318k  60.220.167.37:8083
289k  171.117.143.120:8083
287k  183.185.13.182:8083
224k  171.117.143.120:8084
212k  183.188.23.36:6000
204k  171.116.36.145:8082
134k  60.220.167.37:8082
125k  60.223.72.205:8001
125k  183.185.12.105:8084
123k  183.185.13.182:8082
120k  60.220.167.229:8084
115k  60.220.167.49:8082
110k  118.78.220.127:8686
106k  183.185.67.225:8083
101k  183.185.12.105:8083
