1629k  125.119.49.111:8888
1616k  125.123.120.158:19888
1536k  125.121.239.195:4022
1453k  122.242.144.73:9999
1400k  183.141.216.199:9999
1338k  115.230.191.242:9999
1309k  220.185.72.197:9999
1295k  125.109.8.221:9999
1277k  122.234.226.192:8888
1271k  122.231.123.34:8888
1264k  125.113.78.132:8888
1259k  60.176.235.114:9999
1253k  125.113.73.236:8888
1248k  183.159.225.140:9999
1218k  122.247.121.96:9999
726k  125.120.141.200:9999
608k  183.134.150.87:9999
484k  122.237.184.221:7777
332k  115.201.186.182:9999
318k  115.201.186.133:9999
182k  60.189.106.125:9999
